product_name,product_description,sku,target_market,manufacturer,internal_category,user_defined_tags
Apple iPhone 15 Pro Max 256GB Black Titanium,"The latest flagship smartphone from Apple with A17 Pro chip and advanced camera system. Costs $1,500 USD",IPHONE15PM256BLKTI,"Consumer Electronics Retail",,,
Can of Diet Soda (355ml),,,,"SodaStream Inc.",,
Extra Large Box of Organic Blueberries,,,,,"Produce","Organic, Fruit, Wholesale, Bulk"
Pack of 12 AA Duracell Batteries,,,,,,""
Family Pack of Whole Wheat Pasta 500g,"Made from 100% whole grain durum wheat.",,,"",Dry Goods,""
Large t-shirt for men, black color,,,"Men's Clothing","Generic Apparel Co.",,
Box of small white chocolates, 100g,"Creamy white chocolate truffles with a soft center.",WHTCHOC100G,,,
Small Tin of Roasted Italian Coffee Beans,"Medium roast, arabica beans.",,,"","","Coffee, Beans, Italian, Roasted"
Can of black beans (low sodium),,,,,"Canned Goods",
Big bag of cheddar popcorn, 15oz,"Gluten-free, real cheddar cheese powder.",,,"SnackAttack Brands",,
Stainless Steel Travel Mug, 16oz,"Double wall vacuum insulation keeps drinks hot for 6 hours.",,,"HydroFlask",,
Organic Almond Milk, Unsweetened 3-Pack (32oz each),,,,"","Dairy Alternatives","Plant-based, Vegan, Healthy, Shelf-stable"
Pack of 5 Reusable Microfiber Cleaning Cloths,,,,,,
Noise-Cancelling Over-Ear Bluetooth Headphones,"40 hour battery life, deep bass, quick charge feature.",,,"","Electronics Accessories",
24 Pack of Crystal Geyser Alpine Spring Water,,,"Grocery, Convenience","Crystal Geyser Water Company",,
Wireless Ergonomic Mouse, White,"Vertical design reduces wrist strain, 6 buttons, USB receiver included.",MOUSE-ERG-WHT-V2,,,
Bag of Organic Fair Trade Coffee Beans, Ethiopian Roast (12oz),,,,"","Coffee","Fair Trade, Organic, Ethiopian, Whole Bean"
Small Cast Iron Skillet, 8-inch preseasoned,,,,"Lodge Cast Iron",,
Dog Food, Large Breed Chicken & Rice (30 lb bag),"Formulated for adult large breed dogs, supports joint health.",DF-LC-R-30LB,,,